date, value, description, donor_id,judge_id 
11/2/11, 100.00, hotel room, 216, 823
02/26/11, 200.00, scrapbooking items, 217, 823
05/05/11, 50, dinner ticket, 218, 832
3/15/11, 85, dinner ticket, 8, 832
6/14/11, 85, dinner ticket, 8, 832
12/13/11, 85, dinner ticket, 8, 832
6/11/11, 100, dinner (hall of fame), 219, 832
06/05/11, 150, dinner-montalvo arts, 220, 832
10/22/11, 60, football ticket, 221, 832
12/14/11, 200, dinner legion of honor, 222, 832
9/3/11, 200, restaurant credit, 223, 832
10/20/11, 250, dinner ticket, 224, 832
3/31/11, 125, dinner ticket, 225, 832
9/10/11, 250, dinnerinvitation, 226, 838
, , invitation at centennial, 226, 838
, , centennial, 226, 838
12/09/10, 300, x-mass party, 227, 846
4/28/11, 120.00, dinner & awards program, 5, 849
10/14/11, 175.00, dinner program, 5, 849
12/14/11, 60.00, holiday reception, 5, 849
12/9/11, 60.00, holiday reception, 228, 849
7/27/11, 100.00, dinner & program, 229, 849
3/25/11, 50.00, reception, 230, 849
10/18/11, 100.00, program & dinner, 231, 849
12/1/11, 120.00, holiday dinner, 52, 849
01/20/11, 180.00, personal and spousal attendance at bar association dinner function, 69, 853
, , north buttecounm, 63, 870
, , county, 63, 870
, , courthouse, 63, 870
4/29/11, 480.00, 4 baseball tickets, 232, 876
9/3/11, 220.00, 4 football tickets, 233, 876
7/24/11, 480.00, 4 baseball tickets, 234, 876
8/26/11, 70.00, 1 baseball ticket, 235, 876
1/10/11, 120, toy/film prop, 236, 878
7/28/11, 50, dinner, 237, 878
11/24/11, 150, clothing, 238, 880
12/29/11, 80, dinner, 239, 880
03/01/11, 1500.00, basketball tickets, 240, 881
9/18/11, 276, tickets / dinner, 241, 887
1/25/11, 75, dinner, 242, 897
5/10/11, 75, dinner, 242, 897
12/31/11, 75, lunch dinner, 242, 897
12/9/11, 50, lunch, 243, 897
09/14/11, 250.00, baseball tickets, 244, 908
11/15/12, 500.00, vacation home, 245, 908
9/11, 1000.00, airplane ride, 246, 925
08/02/11, 50.00, hourglass, 247, 927
12 25 11, 50.00, hourglass, 247, 927
09/22/11, 275.00, dodger tickets, 248, 927
9/3/11, unknown, football game ticket, 249, 932
10/29/11, unknown, football game ticket, 249, 932
1/20/11, 80.00, dinner meeting, 69, 933
10/6/11, 90.00, dinner meeting, 7, 933
3/30/11, 80.00, dinner meeting, 242, 933
6/8/11, 80.00, dinner meeting, 242, 933
9/14/11, 80.00, dinner meeting, 242, 933
6/29/11, 125.00, baseball ticket, 250, 933
8/2/11, 125.00, baseball ticket, 250, 933
1/01/11, 200, performance gift cards, 251, 935
, 100.00, food, 252, 939
8/25/11, 100.00, food, 253, 939
10/06/11, 75.00, food, 7, 939
3 14 11, 30.00, food, 254, 939
12/09/11, 200.00, food, 255, 939
1/20/11, 65.00, dinner, 256, 939
, 150.00, food, 257, 939
, 150, food, 258, 939
, 100.00, food, 259, 939
10/25/11, 50.00, food, 260, 939
, 150.00, food, 261, 939
9/16/11, 100, mission gula, 262, 944
10/6/11, 10, dinner, 263, 944
8/24/11, 150, dinner, 264, 951
2/11/11, 375, seminar, 265, 951
12/15/11, 350, probate section family law section lunch, 266, 951
7/25/11, 100, seminars, 266, 951
